CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
Alkyl methacrylate copolymer (PROVISIONAL),233808,233808,Accession Number,"639,462","679,778","731,616","640,257"
Alkyl phenol (generic),202541,202541,Accession Number,"50,000 – <250,000","<50,000","50,000 – <250,000","<50,000"
Alkyl phosphonate (generic),259111,259111,Accession Number,0,0,"55,426","84,529"
Alkyl poly-ether (PROVISIONAL),175601,175601,Accession Number,"567,783","395,219","233,270","741,137"
"Alkyl salicylate, metal salt (PROVISIONAL)",275457,275457,Accession Number,"<50,000","<50,000","550,000 – <1,000,000","1,000,000 – <5,000,000"
"Alkyl salicylate, metal salts",300971,300971,Accession Number,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","<50,000"
Alkyl substituted alcohol borate ester (PROVISIONAL),268838,268838,Accession Number,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
Alkyl substituted bis-phenol (PROVISIONAL),232496,232496,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
Alkyl substituted phenol (PROVISIONAL),238654,238654,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
Alkyl tri dithiocarbamate tri salt,300404,300404,Accession Number,"50,000 – <250,000","250,000 – <550,000","250,000 – <550,000","50,000 – <250,000"
Alkyl triazine (PROVISIONAL),193829,193829,Accession Number,"<50,000","<50,000","<50,000","<50,000"
Alkylamide derivative (generic),277737,277737,Accession Number,"<75,000","<75,000","<75,000","<75,000"
"Alkylamides, ethoxylated (PROVISIONAL)",232792,232792,Accession Number,0,"1,675",0,"53,936"
Alkylamine - modifided silane (PROVISIONAL),259393,259393,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
Alkylamine maleic anhydride condensation product (PROVISIONAL),135207,135207,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Alkylamine, alkoxylated (PROVISIONAL)",235951,235951,Accession Number,"250,000 – <550,000","250,000 – <550,000","550,000 – <1,000,000","550,000 – <1,000,000"
Alkylated aromatic (PROVISIONAL),247917,247917,Accession Number,"250,000 – <550,000","550,000 – <1,000,000","550,000 – <1,000,000","250,000 – <550,000"
Alkylated aromatic (PROVISIONAL),252530,252530,Accession Number,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
Alkylcarboxy polyester acrylate reaction products with mixed metal oxides,249651,249651,Accession Number,"250,000 – <550,000","550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
Alkylcarboxypolyester acrylate (PROVISIONAL),267119,267119,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Alkyldiamine alkyl trialkoxysilane, reaction products with methacrylate alkyl trialkoxysilane and mixed metal oxides (PROVISIONAL)",231584,231584,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Alkyldiamine, aminoalkyl dimethylaminoalkyl dimethyl-, reaction products with propylene oxide",300131,300131,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Alkylmultiheteroatom, 2-functionalisedalkyl-2-hydroxyalkyl-, polymer with alkylheteroatom-multialkylfunctionalised carbonomoncoyleheteroatom and multiglycidylether difunctionalised polyalkylene glycol (generic)",210594,210594,Accession Number,"28,200","3,802","13,625","10,773"
Alkylphenol polyether amine (PROVISIONAL),166428,166428,Accession Number,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","1,000,000 – <5,000,000","10,000,000 – <50,000,000"
"Alkylphenol, reaction product with formaldehyde",29573,29573,Accession Number,"250,000 – <550,000","250,000 – <550,000","550,000 – <1,000,000","550,000 – <1,000,000"
"Alkylphenol, reaction products with carbon dioxide, distn. residuesfrom manuf. of alkylphenol derivs. and calcium alkylphenol derivs.",300993,300993,Accession Number,"550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000","<50,000"
Alkylphenylpolyetheramine,162415,162415,Accession Number,0,"250,000 – <550,000","50,000 – <250,000","<50,000"
"Alkylthiophenamine, manuf. of, by-products from (PROVISIONAL)",232032,232032,Accession Number,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Aluminate (Al(OH)63-), (OC-6-11)-, magnesium carbonate hydroxide (2:6:1:4)",11097-59-9,11097599,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"Aluminate (AlO21-), sodium (1:1)",1302-42-7,1302427,CASRN,"850,000,000 – <1,000,000,000","850,000,000 – <1,000,000,000","850,000,000 – <1,000,000,000","700,000,000 – <850,000,000"
"Aluminate(1-), dihydrobis[2-(methoxy-.kappa.O)ethanolato-.kappa.O]-, sodium (1:1)",22722-98-1,22722981,CASRN,"500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000"
"Aluminate(1-), tetrafluoro-, cesium (1:1), (T-4)-",39211-00-2,39211002,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Aluminate(3-), hexafluoro-, lithium (1:3), (OC-6-11)-",13821-20-0,13821200,CASRN,"<50,000","550,000 – <1,000,000","50,000 – <250,000","<50,000"
"Aluminate(3-), hexafluoro-, sodium (1:3), (OC-6-11)-",13775-53-6,13775536,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
Aluminatesilicate,1327-36-2,1327362,CASRN,"7,000,000 – <8,500,000","2,500,000 – <4,000,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000"
"Aluminosilicates, phospho-",201167-69-3,201167693,CASRN,"500,000 – <1,000,000","1,000,000 – <8,500,000","152,583",0
"Aluminoxanes, Me",308062-01-3,308062013,CASRN,"50,000 – <250,000","250,000 – <550,000","250,000 – <550,000","<50,000"
"Aluminoxanes, Me, Me group-terminated",949495-39-0,949495390,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Aluminoxanes, Me, Me group-terminated, reaction products with dichloro[rel-(7aR,7'aR)-1,2-ethanediylbis[(1,2,3,3a,7a-.eta.)-4,5,6,7-tetrahydro-1H-inden-1-ylidene]]zirconium, 1,1,1,3,3,5,5,5-octamethyltrisiloxane and silica",2730864-69-2,2730864692,CASRN,0,"<50,000","<50,000","50,000 – <250,000"
Aluminum,7429-90-5,7429905,CASRN,"15,000,000,000 – <20,000,000,000","15,000,000,000 – <20,000,000,000","15,000,000,000 – <20,000,000,000","10,000,000,000 – <15,000,000,000"
Aluminum alkoxide complex (PROVISIONAL),230912,230912,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Aluminum alloy, Al,Zn, dross",69011-73-0,69011730,CASRN,"210,000","170,000","260,000","170,000"
Aluminum boron cobalt lithium nickel oxide,207803-51-8,207803518,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
Aluminum calcium iron oxide (AlCa2FeO5),12068-35-8,12068358,CASRN,"15,000,000,000 – <20,000,000,000","20,000,000,000 – <25,000,000,000","20,000,000,000 – <25,000,000,000","20,000,000,000 – <25,000,000,000"
Aluminum calcium oxide (Al2Ca3O6),12042-78-3,12042783,CASRN,"10,000,000,000 – <15,000,000,000","10,000,000,000 – <15,000,000,000","10,000,000,000 – <15,000,000,000","10,000,000,000 – <15,000,000,000"
Aluminum calcium oxide (Al2CaO4),12042-68-1,12042681,CASRN,"5,000,000,000 – <10,000,000,000","5,000,000,000 – <10,000,000,000","5,000,000,000 – <10,000,000,000","5,000,000,000 – <10,000,000,000"
Aluminum calcium oxide sulfate (Al2Ca6O6(SO4)3),12004-14-7,12004147,CASRN,"50,000 – <250,000","550,000 – <1,000,000","250,000 – <550,000","<50,000"
Aluminum calcium oxide sulfate (Al6Ca4O12(SO4)),12005-25-3,12005253,CASRN,"47,752","38,537","11,197","44,024"
Aluminum cesium fluoride,138577-01-2,138577012,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","<50,000"
Aluminum chloride (AlCl3),7446-70-0,7446700,CASRN,"100,000,000 – <250,000,000","250,000,000 – <400,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000"
Aluminum chloride hydroxide (Al2Cl(OH)5),12042-91-0,12042910,CASRN,"400,000,000 – <550,000,000","400,000,000 – <550,000,000","400,000,000 – <550,000,000","250,000,000 – <400,000,000"
Aluminum chloride hydroxide (AlCl2(OH)),14215-15-7,14215157,CASRN,"5,000,000 – <10,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000"
Aluminum chloride hydroxide sulfate,39290-78-3,39290783,CASRN,"18,062,272","19,024,190","21,413,754","12,732,793"
"Aluminum chloride, basic",1327-41-9,1327419,CASRN,"400,000,000 – <550,000,000","400,000,000 – <550,000,000","400,000,000 – <550,000,000","400,000,000 – <550,000,000"
Aluminum cobalt lithium nickel oxide,177997-13-6,177997136,CASRN,"100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000","50,000,000 – <100,000,000"
Aluminum cobalt oxide (Al2CoO4),1333-88-6,1333886,CASRN,"<50,000","<50,000","<50,000","<50,000"
Aluminum copper oxide (Al2CuO4),12042-92-1,12042921,CASRN,"<50,000","<50,000","<50,000","50,000 – <250,000"
Aluminum fluoride (AlF3),7784-18-1,7784181,CASRN,"100,000,000 – <250,000,000","85,000,000 – <100,000,000","100,000,000 – <250,000,000","85,000,000 – <100,000,000"
Aluminum hydroxide (Al(OH)3),21645-51-2,21645512,CASRN,"550,000,000 – <700,000,000","850,000,000 – <1,000,000,000","550,000,000 – <700,000,000","700,000,000 – <850,000,000"
Aluminum hydroxide sulfate (Al(OH)(SO4)),1332-73-6,1332736,CASRN,"760,000","810,000","880,000","460,000"
Aluminum magnesium zinc carbonate hydroxide,169314-88-9,169314889,CASRN,"42,990","343,918","752,320","367,562"
Aluminum molybdenum oxide (Al2Mo3O12),15123-80-5,15123805,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
Aluminum nickel oxide (Al2NiO4),12004-35-2,12004352,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
Aluminum nitride (AlN),24304-00-5,24304005,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
Aluminum oxide (Al2O3),1344-28-1,1344281,CASRN,"50,000,000,000 – <100,000,000,000","10,000,000,000 – <50,000,000,000","50,000,000,000 – <100,000,000,000","10,000,000,000 – <50,000,000,000"
"Aluminum oxide (Al2O3), fluoride-contg.",69011-74-1,69011741,CASRN,"928,210,058","949,104,997","927,508,329","907,968,648"
Aluminum oxide silicate (Al6O5(SiO4)2),12068-56-3,12068563,CASRN,"31,649","44,745","35,910","19,644"
Aluminum potassium fluoride,60304-36-1,60304361,CASRN,"2,500,000 – <4,000,000","1,000,000 – <2,500,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
Aluminum silicate clay treated with organosilane (amino functionality) (PROVISIONAL),93971,93971,Accession Number,"5,000,000 – <10,000,000","5,000,000 – <10,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
Aluminum silicate clay treated with organosilane (vinyl functionality) (PROVISIONAL),99888,99888,Accession Number,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
Aluminum sodium oxide,11138-49-1,11138491,CASRN,"473,600,000","465,600,000","532,900,000","486,000,000"
"Aluminum strontium borate oxide (Al0-2Sr(BO2)0-2O0-4), dysprosium- and europium-doped",2738354-08-8,2738354088,CASRN,"31,834","45,106","47,535","43,933"
Aluminum titanium chloride (AlTi3Cl12),12003-13-3,12003133,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Aluminum, (2-ethylhexanoato-.kappa.O)oxo-",56237-73-1,56237731,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Aluminum, (acetato-.kappa.O)(formato-.kappa.O)hydroxy-",34202-30-7,34202307,CASRN,"550,000 – <1,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Aluminum, (benzoato-.kappa.O,.kappa.O')hydroxy(octadecanoato-.kappa.O,.kappa.O')-",54326-11-3,54326113,CASRN,"90,885","90,044","135,919","104,221"
"Aluminum, (isooctanolato)bis(2-propanolato)-",99790-95-1,99790951,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Aluminum, (octadecanoato-.kappa.O)oxo-",13419-15-3,13419153,CASRN,"75,000 – <500,000","500,000 – <1,000,000","75,000 – <500,000","75,000 – <500,000"
"Aluminum, [2-(dimethylamino-.kappa.N)ethanolato-.kappa.O][ethyl 3-(oxo-.kappa.O)butanoato-.kappa.O'][1-(methoxy-.kappa.O)-2-propanolato-.kappa.O]-",2129982-94-9,2129982949,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Aluminum, [ethyl 3-(oxo-.kappa.O)butanoato-.kappa.O']bis(2-propanolato)-, (T-4)-",14782-75-3,14782753,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Aluminum, benzoate C16-18-fatty acids hydroxy complexes",82980-54-9,82980549,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","850,000 – <1,000,000","700,000 – <850,000"
"Aluminum, benzoate hydrogenated tallow fatty acid iso-Pr alc. complexes",68647-58-5,68647585,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Aluminum, benzoate iso-Pr alc. stearate complexes",68815-27-0,68815270,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000"
"Aluminum, chloro[29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, (SP-5-12)-",14154-42-8,14154428,CASRN,"<75,000","6,600","<75,000","6,600"
"Aluminum, chlorobis(2-methylpropyl)-",1779-25-5,1779255,CASRN,"<75,000","<75,000","75,000 – <500,000","<75,000"
"Aluminum, chlorodiethyl-",96-10-6,96106,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Aluminum, chlorodimethyl-",1184-58-3,1184583,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Aluminum, di-.mu.-chlorochlorotriethyldi-",12075-68-2,12075682,CASRN,"5,500,000 – <7,000,000","7,000,000 – <8,500,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000"
"Aluminum, dichloro(2-methylpropyl)-",1888-87-5,1888875,CASRN,"250,000 – <550,000","50,000 – <250,000","250,000 – <550,000","550,000 – <1,000,000"
"Aluminum, dichloroethyl-",563-43-9,563439,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Aluminum, dihydroxy(octadecanoato-.kappa.O)-",7047-84-9,7047849,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Aluminum, dross",69011-71-8,69011718,CASRN,"100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000"
"Aluminum, ethoxydiethyl-",1586-92-1,1586921,CASRN,"100,000 – <250,000","75,000 – <100,000","100,000 – <250,000","<50,000"
"Aluminum, hydrobis(2-methylpropyl)-",1191-15-7,1191157,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","850,000 – <1,000,000"
"Aluminum, hydrobis(2-methylpropyl)-, reaction products with isoprene",70024-64-5,70024645,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Aluminum, hydroxybis(octadecanoato-.kappa.O)-",300-92-5,300925,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Aluminum, hydroxybis[2,4,8,10-tetrakis(1,1-dimethylethyl)-6-(hydroxy-.kappa.O)-12H-dibenzo[d,g][1,3,2]dioxaphosphocin 6-oxidato]-",151841-65-5,151841655,CASRN,"75,000 – <500,000","500,000 – <1,000,000","75,000 – <500,000","500,000 – <1,000,000"
"Aluminum, oxo(2-propanolato)-",68425-65-0,68425650,CASRN,"250,000 – <550,000","550,000 – <1,000,000","250,000 – <550,000","250,000 – <550,000"
"Aluminum, tributyl-",1116-70-7,1116707,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"Aluminum, trichlorotrimethyldi-",12542-85-7,12542857,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Aluminum, triethyl-",97-93-8,97938,CASRN,"25,000,000 – <40,000,000","10,000,000 – <25,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000"
"Aluminum, trihexyl-",1116-73-0,1116730,CASRN,"700,000 – <850,000","1,000,000 – <2,500,000","700,000 – <850,000","250,000 – <550,000"
"Aluminum, trimethyl-",75-24-1,75241,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Aluminum, trioctyl-",1070-00-4,1070004,CASRN,"2,500,000 – <4,000,000","4,000,000 – <5,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Aluminum, tris(2,4-pentanedionato-.kappa.O2,.kappa.O4)-, (OC-6-11)-",13963-57-0,13963570,CASRN,"50,000 – <75,000","50,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
"Aluminum, tris(2-methylpropyl)-",100-99-2,100992,CASRN,"5,500,000 – <7,000,000","5,500,000 – <7,000,000","5,000,000 – <10,000,000","5,500,000 – <7,000,000"
"Aluminum, tris[2-(hydroxy-.kappa.O)propanoato-.kappa.O]-",18917-91-4,18917914,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","850,000 – <1,000,000","850,000 – <1,000,000"
"Aluminum, tris[N-(hydroxy-.kappa.O)-N-(nitroso-.kappa.O)benzenaminato]-",15305-07-4,15305074,CASRN,0,0,0,"3,174"
Amide carboxylate (PROVISIONAL),169223,169223,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
Amide-borate complex (PROVISIONAL),243766,243766,Accession Number,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Amides, C10-16, N-(2-hydroxypropyl)",68603-41-8,68603418,CASRN,"168,349","959,736","613,009","483,404"
"Amides, C10-16, N-(hydroxyethyl)",68910-39-4,68910394,CASRN,"358,736","622,756","616,516","332,560"
"Amides, C12-18, N,N-bis(hydroxyethyl)",68155-06-6,68155066,CASRN,"20,243","17,310","27,843","17,482"
"Amides, C16-18 and C18-unsatd., N,N-bis(hydroxyethyl)",68603-38-3,68603383,CASRN,"250,000 – <550,000","700,000 – <850,000","700,000 – <850,000","700,000 – <850,000"
"Amides, C8-18 and C18-unsatd., N-(hydroxyethyl)",69227-24-3,69227243,CASRN,"453,341","345,403","979,997","43,175"
"Amides, C8-18 and C18-unsatd., N,N-bis(hydroxyethyl)",68155-07-7,68155077,CASRN,"201,867","270,138","240,210","208,294"
"Amides, C8-18 and C18-unsatd., N-[3-(dimethylamino)propyl]",146987-98-6,146987986,CASRN,"1,000,000 – <2,500,000","550,000 – <700,000","850,000 – <1,000,000","850,000 – <1,000,000"
"Amides, canola-oil, N-(hydroxyethyl), ethoxylated",827613-35-4,827613354,CASRN,0,"6,703","28,996",0
"Amides, coco",61789-19-3,61789193,CASRN,"26,954","14,743","14,163","9,950"
"Amides, coco, N-(2-hydroxypropyl)",68333-82-4,68333824,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Amides, coco, N-(hydroxyethyl)",68140-00-1,68140001,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","4,000,000 – <5,500,000","5,500,000 – <7,000,000"
"Amides, coco, N,N-bis(hydroxyethyl)",68603-42-9,68603429,CASRN,"5,500,000 – <7,000,000","5,500,000 – <7,000,000","7,000,000 – <8,500,000","5,500,000 – <7,000,000"
"Amides, coco, N,N-bis(hydroxyethyl), reaction products with coco monoglycerides and molybdenum oxide (MoO3)",445409-27-8,445409278,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Amides, coco, N-[2-[(2-hydroxyethyl)amino]ethyl]",68308-43-0,68308430,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Amides, coco, N-[3-(dibutylamino)propyl]",851544-20-2,851544202,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","5,500,000 – <7,000,000","250,000 – <400,000"
"Amides, coco, N-[3-(dibutylamino)propyl], acrylates",851545-09-0,851545090,CASRN,0,"<50,000","<50,000","<50,000"
"Amides, coco, N-[3-(dimethylamino)propyl]",68140-01-2,68140012,CASRN,"40,000,000 – <55,000,000","40,000,000 – <55,000,000","40,000,000 – <55,000,000","40,000,000 – <55,000,000"
"Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with chloroacetic acid, sodium salts",70851-07-9,70851079,CASRN,"75,000 – <500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Amides, coco, N-[3-(dimethylamino)propyl], N-oxides",68155-09-9,68155099,CASRN,"550,000 – <700,000","850,000 – <1,000,000","700,000 – <850,000","850,000 – <1,000,000"
"Amides, from 1-piperazineethanamine and tall-oil fatty acids",475285-70-2,475285702,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Amides, from ammonia-ethanolamine reaction by-products and branched and linear C16-18 and C18-unsatd. fatty acids",402591-95-1,402591951,CASRN,"1,000,000 – <5,000,000","5,000,000 – <10,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Amides, from ammonia-ethanolamine reaction by-products and branched and linear C16-18 and C18-unsatd. fatty acids, hydrochlorides",1375604-06-0,1375604060,CASRN,"<50,000","<25,000","<50,000","250,000 – <400,000"
"Amides, from ammonia-ethanolamine reaction by-products and low-boiling tall-oil fatty acids",70131-55-4,70131554,CASRN,"362,903","449,870","318,335","331,420"
"Amides, from ammonia-ethanolamine reaction by-products and tall-oil fatty acids",68647-75-6,68647756,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Amides, from ammonia-ethanolamine reaction by-products and tall-oil fatty acids, acetates (salts)",93905-48-7,93905487,CASRN,"<75,000","<75,000","<75,000","<75,000"
"Amides, from branched and linear C16-18 and C18-unsatd. fatty acids and 1-piperazineethanamine",401788-95-2,401788952,CASRN,"<50,000","<50,000","<50,000","50,000 – <250,000"
"Amides, from branched and linear C16-18 and C18-unsatd. fatty acids and pentaethylenehexamine",401788-92-9,401788929,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","250,000 – <550,000","1,000,000 – <5,000,000"
"Amides, from branched and linear C16-18 and C18-unsatd. fatty acids and triethylenetetramine",401788-90-7,401788907,CASRN,"<50,000","<50,000","<50,000","50,000 – <250,000"
"Amides, from C18-unsatd. fatty acid dimers and diethylenetriamine",70321-65-2,70321652,CASRN,"32,850","64,670","74,130","111,820"
"Amides, from C18-unsatd. fatty acids dimers and diethanolamine",68526-59-0,68526590,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Amides, from C18-unsatd. fatty acids dimers, hydrogenated benzaldehyde - polyethylenepolyamines reaction products and tall-oil fatty acids (PROVISIONAL)",240358,240358,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Amides, from citric acid, diethylenetriamine and tall-oil fatty acids",1309955-56-3,1309955563,CASRN,"<50,000","<50,000","50,000 – <250,000","<50,000"
"Amides, from diethylenetriamine and hydrogenated tallow",68920-82-1,68920821,CASRN,"196,764","286,146","571,414","336,373"
"Amides, from diethylenetriamine and soya fatty acids",68308-46-3,68308463,CASRN,"<50,000","<50,000","50,000 – <250,000","50,000 – <250,000"
"Amides, from diethylenetriamine and tall-oil fatty acids",68526-43-2,68526432,CASRN,0,0,"26,998","16,234"
"Amides, from diethylenetriamine, alkenoic acid and tall-oil fatty acids (PROVISIONAL)",240494,240494,Accession Number,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","<50,000"
"Amides, from lignin, tall oil fatty acids, C21 dicarboxylic acids and polyalkanolamines (PROVISIONAL)",237742,237742,Accession Number,"250,000 – <550,000","550,000 – <1,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Amides, from lignin, tall oil fatty acids, C21 dicarboxylic acids and polyalkanolamines, hydrochlorides (PROVISIONAL)",268258,268258,Accession Number,"250,000 – <400,000","550,000 – <700,000","400,000 – <550,000","400,000 – <550,000"
"Amides, from Me epoxyhydroxyoctadecanoate, tetraethylenepentamine and vegetable-oil fatty acids",68443-08-3,68443083,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Amides, from polyethylenepolyamines and tall-oil fatty acids, hydrochlorides",1400261-61-1,1400261611,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Amides, from polyethylenepolyamines and tall-oil fatty acids, reaction products with alkyl monopolyisobutylene derivs. (PROVISIONAL)",205379,205379,Accession Number,"50,000 – <250,000","250,000 – <550,000","50,000 – <250,000","250,000 – <550,000"
"Amides, lard-oil, N,N-bis(hydroxyethyl)",70983-69-6,70983696,CASRN,"12,040","36,795","40,899","49,934"
"Amides, peanut-oil, N-[3-(dimethylamino)propyl]",691400-76-7,691400767,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Amides, soya, N,N-bis(hydroxyethyl)",68425-47-8,68425478,CASRN,"550,000 – <700,000","550,000 – <1,000,000","550,000 – <1,000,000","400,000 – <550,000"
"Amides, soya, N-[3-(dimethylamino)propyl]",68188-30-7,68188307,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Amides, tall-oil fatty, N,N-bis(hydroxyethyl)",68155-20-4,68155204,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Amides, tall-oil fatty, N,N-di-Me",68308-74-7,68308747,CASRN,"1,764,671","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Amides, tall-oil fatty, N-[3-(dimethylamino)propyl]",68650-79-3,68650793,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","8,500,000 – <10,000,000"
"Amides, tallow, N-[3-(dimethylamino)propyl]",68425-50-3,68425503,CASRN,"160,923","206,629","124,451","125,324"
"Amides, tallow, N-[3-(dimethylamino)propyl], N-oxides",68647-77-8,68647778,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
