CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"Phenol, 4-ethenyl-, 1-acetate",2628-16-2,2628162,CASRN,"621,129","891,754","616,577","570,045"
"Phenol, 4-ethenyl-, 1-substituted, polymer with 1-(1,1-substituted)-4-ethenylbenzene and ethenylbenzene, 2,2'-(1,2-diazenediyl)bis[2-substituted]-initiated, hydrolyzed (PROVISIONAL)",198175,198175,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Phenol, 4-ethyl-",123-07-9,123079,CASRN,"4,275,788","5,021,689","5,300,768","6,119,010"
"Phenol, 4-methoxy-",150-76-5,150765,CASRN,"700,000 – <850,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phenol, 4-methyl-",106-44-5,106445,CASRN,"25,000,000 – <40,000,000","40,000,000 – <55,000,000","40,000,000 – <55,000,000","40,000,000 – <55,000,000"
"Phenol, 4-methyl-, reaction products with dicyclopentadiene and isobutylene",68610-51-5,68610515,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","5,500,000 – <7,000,000","2,500,000 – <4,000,000"
"Phenol, 4-nitro-3-(trifluoromethyl)-",88-30-2,88302,CASRN,"44,066",0,0,0
"Phenol, 4-nitroso-",104-91-6,104916,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Phenol, 4-nonyl-, branched",84852-15-3,84852153,CASRN,"100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000"
"Phenol, 5-methyl-2-(1-methylethyl)-",89-83-8,89838,CASRN,"17,833","10,333","40,833","56,000"
